video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3274,title 0,publishedAt,channelId,channelTitle,28,2019-11-11T00:00:00Z,notthatgreat,13796,5000000,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
151,title 1,publishedAt,channelId,channelTitle,35,2019-11-11T00:00:00Z,notthatgreat,7272,1263927,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1542,title 2,publishedAt,channelId,channelTitle,28,2022-06-03T00:00:00Z,notthatgreat,3323,3087085,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2183,title 3,publishedAt,channelId,channelTitle,36,2021-02-05T00:00:00Z,sad,9497,560431,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3493,title 4,publishedAt,channelId,channelTitle,40,2020-06-19T00:00:00Z,funny,11860,2246853,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
48,title 5,publishedAt,channelId,channelTitle,38,2021-07-26T00:00:00Z,reallyfunny,4249,577466,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3060,title 6,publishedAt,channelId,channelTitle,43,2022-05-23T00:00:00Z,reallysad,13964,1985657,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
244,title 7,publishedAt,channelId,channelTitle,39,2022-02-16T00:00:00Z,funny,3614,1828360,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1554,title 8,publishedAt,channelId,channelTitle,10,2020-09-19T00:00:00Z,reallysad,11293,2551784,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1879,title 9,publishedAt,channelId,channelTitle,31,2021-11-28T00:00:00Z,notthatgreat,8860,589649,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3128,title 10,publishedAt,channelId,channelTitle,26,2022-02-11T00:00:00Z,notthatgreat,4144,3621907,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
997,title 11,publishedAt,channelId,channelTitle,32,2019-08-10T00:00:00Z,sad,8931,2630884,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3414,title 12,publishedAt,channelId,channelTitle,1,2022-07-01T00:00:00Z,reallyfunny,3595,3420162,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1514,title 13,publishedAt,channelId,channelTitle,36,2022-10-20T00:00:00Z,reallysad,2718,1511322,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
