video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1366,title 0,publishedAt,channelId,channelTitle,35,2019-02-14T00:00:00Z,funny,7517,5000000,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
955,title 1,publishedAt,channelId,channelTitle,22,2020-09-14T00:00:00Z,reallyfunny,5783,3968022,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3428,title 2,publishedAt,channelId,channelTitle,23,2021-12-18T00:00:00Z,notthatgreat,5931,2695484,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1122,title 3,publishedAt,channelId,channelTitle,30,2019-11-10T00:00:00Z,sad,5175,1983769,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2735,title 4,publishedAt,channelId,channelTitle,44,2018-12-05T00:00:00Z,reallysad,10672,1052641,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3351,title 5,publishedAt,channelId,channelTitle,37,2021-09-14T00:00:00Z,notthatgreat,19579,3623875,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1651,title 6,publishedAt,channelId,channelTitle,36,2022-09-15T00:00:00Z,sad,1421,250182,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1441,title 7,publishedAt,channelId,channelTitle,27,2021-01-23T00:00:00Z,reallyfunny,2830,1784341,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
936,title 8,publishedAt,channelId,channelTitle,36,2020-03-30T00:00:00Z,notthatgreat,17330,1790683,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2090,title 9,publishedAt,channelId,channelTitle,10,2019-11-26T00:00:00Z,funny,16980,3965801,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
729,title 10,publishedAt,channelId,channelTitle,42,2020-11-13T00:00:00Z,notthatgreat,9669,2810526,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
113,title 11,publishedAt,channelId,channelTitle,15,2020-11-10T00:00:00Z,reallysad,11878,3501925,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1900,title 12,publishedAt,channelId,channelTitle,44,2019-11-09T00:00:00Z,reallysad,3808,3460015,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
885,title 13,publishedAt,channelId,channelTitle,28,2022-05-25T00:00:00Z,notthatgreat,1121,877244,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
57,title 14,publishedAt,channelId,channelTitle,20,2022-01-25T00:00:00Z,notthatgreat,5587,922678,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
614,title 15,publishedAt,channelId,channelTitle,35,2021-02-12T00:00:00Z,funny,16758,3512012,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2317,title 16,publishedAt,channelId,channelTitle,21,2021-06-25T00:00:00Z,reallysad,6433,2666180,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1935,title 17,publishedAt,channelId,channelTitle,33,2019-09-09T00:00:00Z,funny,19139,2488023,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1686,title 18,publishedAt,channelId,channelTitle,28,2021-02-11T00:00:00Z,funny,13682,1869357,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
304,title 19,publishedAt,channelId,channelTitle,10,2021-08-05T00:00:00Z,reallysad,8369,3795294,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
