video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3689,title 0,publishedAt,channelId,channelTitle,36,2020-02-20T00:00:00Z,reallyfunny,5702,5000000,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2134,title 1,publishedAt,channelId,channelTitle,10,2018-12-09T00:00:00Z,funny,5469,3216795,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2893,title 2,publishedAt,channelId,channelTitle,38,2020-07-12T00:00:00Z,notthatgreat,15565,3464178,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2672,title 3,publishedAt,channelId,channelTitle,44,2022-01-17T00:00:00Z,sad,3949,1553638,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2142,title 4,publishedAt,channelId,channelTitle,32,2021-01-26T00:00:00Z,notthatgreat,12407,3074238,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
337,title 5,publishedAt,channelId,channelTitle,2,2020-04-21T00:00:00Z,reallyfunny,6197,1250417,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
288,title 6,publishedAt,channelId,channelTitle,1,2020-10-16T00:00:00Z,funny,18665,1267863,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2360,title 7,publishedAt,channelId,channelTitle,23,2021-05-27T00:00:00Z,sad,11953,2867307,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
219,title 8,publishedAt,channelId,channelTitle,15,2020-05-01T00:00:00Z,sad,15974,3559990,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1562,title 9,publishedAt,channelId,channelTitle,17,2020-02-05T00:00:00Z,reallysad,7706,803202,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2125,title 10,publishedAt,channelId,channelTitle,39,2022-04-30T00:00:00Z,notthatgreat,16761,872803,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3215,title 11,publishedAt,channelId,channelTitle,38,2022-10-27T00:00:00Z,notthatgreat,15526,3842812,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
594,title 12,publishedAt,channelId,channelTitle,32,2019-11-04T00:00:00Z,reallyfunny,14526,3889091,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2570,title 13,publishedAt,channelId,channelTitle,38,2020-07-11T00:00:00Z,sad,5853,451909,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1929,title 14,publishedAt,channelId,channelTitle,10,2022-05-11T00:00:00Z,sad,16972,2033787,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1487,title 15,publishedAt,channelId,channelTitle,40,2019-07-08T00:00:00Z,sad,16276,876631,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3541,title 16,publishedAt,channelId,channelTitle,22,2022-03-26T00:00:00Z,funny,11080,1630064,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2859,title 17,publishedAt,channelId,channelTitle,2,2021-09-10T00:00:00Z,funny,3341,129776,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
176,title 18,publishedAt,channelId,channelTitle,20,2022-10-03T00:00:00Z,notthatgreat,3310,1795778,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1547,title 19,publishedAt,channelId,channelTitle,36,2021-11-10T00:00:00Z,reallyfunny,13622,3356925,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3136,title 20,publishedAt,channelId,channelTitle,25,2018-12-10T00:00:00Z,reallysad,6839,3272967,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
47,title 21,publishedAt,channelId,channelTitle,27,2022-02-08T00:00:00Z,notthatgreat,6793,1134906,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2256,title 22,publishedAt,channelId,channelTitle,34,2021-05-25T00:00:00Z,reallysad,5134,1268165,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
314,title 23,publishedAt,channelId,channelTitle,37,2019-06-27T00:00:00Z,funny,12784,1735529,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3833,title 24,publishedAt,channelId,channelTitle,26,2021-01-14T00:00:00Z,reallysad,1093,1700524,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
522,title 25,publishedAt,channelId,channelTitle,2,2019-05-18T00:00:00Z,reallysad,18450,1036247,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3410,title 26,publishedAt,channelId,channelTitle,28,2022-10-21T00:00:00Z,sad,11242,2401132,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
225,title 27,publishedAt,channelId,channelTitle,25,2022-08-21T00:00:00Z,reallysad,14929,363716,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3088,title 28,publishedAt,channelId,channelTitle,10,2021-07-03T00:00:00Z,reallysad,38,2325967,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
203,title 29,publishedAt,channelId,channelTitle,33,2020-09-22T00:00:00Z,reallyfunny,7923,1456799,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3474,title 30,publishedAt,channelId,channelTitle,44,2022-04-05T00:00:00Z,reallysad,6422,1965324,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2614,title 31,publishedAt,channelId,channelTitle,10,2022-06-14T00:00:00Z,notthatgreat,2054,867300,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2397,title 32,publishedAt,channelId,channelTitle,18,2022-10-14T00:00:00Z,funny,7228,2467223,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2890,title 33,publishedAt,channelId,channelTitle,28,2020-08-17T00:00:00Z,notthatgreat,11245,2432083,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
506,title 34,publishedAt,channelId,channelTitle,38,2022-01-03T00:00:00Z,funny,1110,2604392,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1242,title 35,publishedAt,channelId,channelTitle,42,2020-04-25T00:00:00Z,sad,1031,3971291,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1932,title 36,publishedAt,channelId,channelTitle,41,2021-01-03T00:00:00Z,notthatgreat,1683,1336218,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1204,title 37,publishedAt,channelId,channelTitle,44,2019-05-21T00:00:00Z,notthatgreat,15310,1001807,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3210,title 38,publishedAt,channelId,channelTitle,1,2021-03-14T00:00:00Z,sad,4232,767270,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2582,title 39,publishedAt,channelId,channelTitle,22,2022-06-30T00:00:00Z,reallysad,17723,3014423,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1098,title 40,publishedAt,channelId,channelTitle,24,2022-06-09T00:00:00Z,notthatgreat,17761,2625991,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
416,title 41,publishedAt,channelId,channelTitle,32,2022-11-11T00:00:00Z,sad,5491,3879647,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
680,title 42,publishedAt,channelId,channelTitle,19,2020-07-10T00:00:00Z,reallyfunny,4143,2852803,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
748,title 43,publishedAt,channelId,channelTitle,37,2020-03-10T00:00:00Z,reallysad,9732,3510291,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
651,title 44,publishedAt,channelId,channelTitle,34,2022-06-08T00:00:00Z,sad,10437,3468139,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1105,title 45,publishedAt,channelId,channelTitle,18,2021-07-21T00:00:00Z,notthatgreat,19322,1345513,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2847,title 46,publishedAt,channelId,channelTitle,21,2019-08-12T00:00:00Z,sad,13924,1884402,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2843,title 47,publishedAt,channelId,channelTitle,1,2020-06-30T00:00:00Z,funny,7097,1909724,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2747,title 48,publishedAt,channelId,channelTitle,43,2019-10-07T00:00:00Z,reallyfunny,8869,1288965,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3014,title 49,publishedAt,channelId,channelTitle,21,2022-09-15T00:00:00Z,sad,16798,1339568,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2716,title 50,publishedAt,channelId,channelTitle,39,2020-05-03T00:00:00Z,sad,9564,2983270,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2665,title 51,publishedAt,channelId,channelTitle,20,2022-03-01T00:00:00Z,reallyfunny,13070,1003005,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
110,title 52,publishedAt,channelId,channelTitle,24,2020-01-10T00:00:00Z,reallyfunny,15757,3497106,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2396,title 53,publishedAt,channelId,channelTitle,25,2021-12-23T00:00:00Z,reallyfunny,7852,469382,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
