video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
607,title 0,publishedAt,channelId,channelTitle,23,2021-12-25T00:00:00Z,reallyfunny,19289,5000000,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2668,title 1,publishedAt,channelId,channelTitle,1,2019-08-23T00:00:00Z,reallyfunny,14235,806720,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1105,title 2,publishedAt,channelId,channelTitle,38,2022-01-23T00:00:00Z,reallyfunny,17657,2844366,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1927,title 3,publishedAt,channelId,channelTitle,2,2021-09-11T00:00:00Z,funny,1332,3579533,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2977,title 4,publishedAt,channelId,channelTitle,26,2019-04-16T00:00:00Z,reallyfunny,9683,917833,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
99,title 5,publishedAt,channelId,channelTitle,18,2021-06-16T00:00:00Z,reallysad,4832,69443,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
789,title 6,publishedAt,channelId,channelTitle,35,2022-03-13T00:00:00Z,sad,9629,695571,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3759,title 7,publishedAt,channelId,channelTitle,42,2020-07-13T00:00:00Z,reallysad,17912,3992398,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2453,title 8,publishedAt,channelId,channelTitle,42,2020-07-25T00:00:00Z,reallyfunny,3781,3522504,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
4000,title 9,publishedAt,channelId,channelTitle,27,2021-08-23T00:00:00Z,funny,12192,2019559,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3702,title 10,publishedAt,channelId,channelTitle,33,2020-01-13T00:00:00Z,reallyfunny,1766,1442256,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
866,title 11,publishedAt,channelId,channelTitle,43,2019-09-16T00:00:00Z,reallysad,16201,3122430,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1116,title 12,publishedAt,channelId,channelTitle,18,2019-03-11T00:00:00Z,sad,7033,1442764,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1829,title 13,publishedAt,channelId,channelTitle,40,2020-08-09T00:00:00Z,reallysad,3947,2237489,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1691,title 14,publishedAt,channelId,channelTitle,20,2021-12-06T00:00:00Z,notthatgreat,6935,812042,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
904,title 15,publishedAt,channelId,channelTitle,28,2022-05-27T00:00:00Z,funny,7390,484318,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
30,title 16,publishedAt,channelId,channelTitle,32,2022-06-17T00:00:00Z,reallyfunny,3372,3553028,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1815,title 17,publishedAt,channelId,channelTitle,27,2022-05-22T00:00:00Z,notthatgreat,13115,684365,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1001,title 18,publishedAt,channelId,channelTitle,19,2022-03-04T00:00:00Z,reallysad,13083,1015059,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
411,title 19,publishedAt,channelId,channelTitle,23,2019-04-06T00:00:00Z,notthatgreat,17657,706845,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
167,title 20,publishedAt,channelId,channelTitle,36,2019-07-18T00:00:00Z,reallysad,19984,3159856,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
