video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1347,title 0,publishedAt,channelId,channelTitle,33,2020-01-20T00:00:00Z,funny,4481,5000000,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3321,title 1,publishedAt,channelId,channelTitle,24,2022-01-31T00:00:00Z,funny,18307,2874892,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2484,title 2,publishedAt,channelId,channelTitle,32,2019-06-27T00:00:00Z,reallyfunny,2979,1554233,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1811,title 3,publishedAt,channelId,channelTitle,30,2021-06-26T00:00:00Z,funny,11654,3903282,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3042,title 4,publishedAt,channelId,channelTitle,37,2022-03-31T00:00:00Z,funny,14425,3080858,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2227,title 5,publishedAt,channelId,channelTitle,2,2020-03-13T00:00:00Z,reallysad,1549,607361,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2177,title 6,publishedAt,channelId,channelTitle,1,2018-12-08T00:00:00Z,funny,14615,3423511,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3068,title 7,publishedAt,channelId,channelTitle,27,2021-09-27T00:00:00Z,sad,19367,2360991,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2291,title 8,publishedAt,channelId,channelTitle,26,2021-05-17T00:00:00Z,reallyfunny,4657,2534244,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1094,title 9,publishedAt,channelId,channelTitle,28,2020-05-22T00:00:00Z,reallyfunny,14666,3821469,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1431,title 10,publishedAt,channelId,channelTitle,31,2019-11-24T00:00:00Z,sad,19262,3706874,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2546,title 11,publishedAt,channelId,channelTitle,39,2021-10-17T00:00:00Z,funny,13879,1476544,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
375,title 12,publishedAt,channelId,channelTitle,18,2021-01-08T00:00:00Z,reallyfunny,12427,3652652,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
507,title 13,publishedAt,channelId,channelTitle,32,2019-02-19T00:00:00Z,reallysad,5950,1985650,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2087,title 14,publishedAt,channelId,channelTitle,42,2019-10-30T00:00:00Z,notthatgreat,3997,3909967,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
783,title 15,publishedAt,channelId,channelTitle,27,2019-06-03T00:00:00Z,funny,16092,3806113,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
230,title 16,publishedAt,channelId,channelTitle,37,2019-09-11T00:00:00Z,reallyfunny,34,523497,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3730,title 17,publishedAt,channelId,channelTitle,43,2022-06-19T00:00:00Z,funny,6041,111234,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1162,title 18,publishedAt,channelId,channelTitle,15,2019-04-22T00:00:00Z,notthatgreat,19138,3226953,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2323,title 19,publishedAt,channelId,channelTitle,18,2020-10-18T00:00:00Z,reallysad,2031,2880907,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1325,title 20,publishedAt,channelId,channelTitle,43,2019-06-01T00:00:00Z,reallyfunny,12725,1339173,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
937,title 21,publishedAt,channelId,channelTitle,17,2020-01-09T00:00:00Z,reallyfunny,6164,3550567,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3599,title 22,publishedAt,channelId,channelTitle,18,2020-09-18T00:00:00Z,reallysad,2532,266786,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2303,title 23,publishedAt,channelId,channelTitle,44,2021-06-26T00:00:00Z,funny,15297,263357,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
