video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
1682,title 0,publishedAt,channelId,channelTitle,15,2022-08-03T00:00:00Z,notthatgreat,7579,5000000,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
707,title 1,publishedAt,channelId,channelTitle,18,2019-04-12T00:00:00Z,notthatgreat,3220,3035155,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1393,title 2,publishedAt,channelId,channelTitle,21,2021-02-23T00:00:00Z,sad,18647,3509195,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3526,title 3,publishedAt,channelId,channelTitle,26,2022-12-02T00:00:00Z,reallysad,13275,3115128,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1062,title 4,publishedAt,channelId,channelTitle,22,2019-07-25T00:00:00Z,reallyfunny,6805,1285265,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1862,title 5,publishedAt,channelId,channelTitle,30,2022-10-29T00:00:00Z,notthatgreat,8219,313494,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3153,title 6,publishedAt,channelId,channelTitle,42,2020-03-01T00:00:00Z,reallysad,18399,1252421,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
20,title 7,publishedAt,channelId,channelTitle,19,2019-03-11T00:00:00Z,sad,2440,3567292,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3038,title 8,publishedAt,channelId,channelTitle,32,2020-09-30T00:00:00Z,notthatgreat,8472,2179273,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3415,title 9,publishedAt,channelId,channelTitle,35,2019-08-08T00:00:00Z,funny,8056,2045462,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1689,title 10,publishedAt,channelId,channelTitle,15,2022-08-05T00:00:00Z,reallyfunny,6698,206709,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2790,title 11,publishedAt,channelId,channelTitle,38,2022-05-15T00:00:00Z,reallyfunny,3942,1991567,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2020,title 12,publishedAt,channelId,channelTitle,17,2021-03-05T00:00:00Z,notthatgreat,573,2335992,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
886,title 13,publishedAt,channelId,channelTitle,27,2020-06-08T00:00:00Z,notthatgreat,14199,178149,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
