video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3589,title 0,publishedAt,channelId,channelTitle,28,2019-04-25T00:00:00Z,funny,13617,5000000,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2972,title 1,publishedAt,channelId,channelTitle,31,2019-12-13T00:00:00Z,sad,1434,3150192,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
765,title 2,publishedAt,channelId,channelTitle,40,2019-02-10T00:00:00Z,reallyfunny,13804,2922299,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
544,title 3,publishedAt,channelId,channelTitle,10,2019-09-30T00:00:00Z,funny,6818,107879,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
167,title 4,publishedAt,channelId,channelTitle,41,2022-07-11T00:00:00Z,funny,1930,1764695,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
345,title 5,publishedAt,channelId,channelTitle,41,2019-01-19T00:00:00Z,funny,19854,1097418,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
362,title 6,publishedAt,channelId,channelTitle,28,2020-02-10T00:00:00Z,reallyfunny,15446,3357255,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1128,title 7,publishedAt,channelId,channelTitle,26,2018-12-14T00:00:00Z,reallyfunny,12951,1373774,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1686,title 8,publishedAt,channelId,channelTitle,2,2019-09-14T00:00:00Z,reallysad,10190,2556935,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3265,title 9,publishedAt,channelId,channelTitle,15,2022-11-15T00:00:00Z,sad,14853,3079573,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1432,title 10,publishedAt,channelId,channelTitle,26,2022-11-05T00:00:00Z,notthatgreat,12411,838806,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2431,title 11,publishedAt,channelId,channelTitle,28,2020-09-14T00:00:00Z,funny,11655,2933868,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1854,title 12,publishedAt,channelId,channelTitle,10,2020-04-10T00:00:00Z,notthatgreat,14374,1031396,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
318,title 13,publishedAt,channelId,channelTitle,23,2019-05-13T00:00:00Z,notthatgreat,131,2215986,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1675,title 14,publishedAt,channelId,channelTitle,38,2020-05-10T00:00:00Z,sad,5655,1972314,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
189,title 15,publishedAt,channelId,channelTitle,30,2018-12-14T00:00:00Z,funny,6698,984413,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2807,title 16,publishedAt,channelId,channelTitle,42,2019-05-12T00:00:00Z,funny,9377,2253217,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3843,title 17,publishedAt,channelId,channelTitle,25,2021-09-11T00:00:00Z,sad,3478,2768788,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3489,title 18,publishedAt,channelId,channelTitle,30,2020-07-19T00:00:00Z,reallyfunny,14105,940825,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
896,title 19,publishedAt,channelId,channelTitle,34,2019-04-27T00:00:00Z,reallysad,14770,3226123,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2179,title 20,publishedAt,channelId,channelTitle,23,2022-08-27T00:00:00Z,sad,17808,3363467,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
844,title 21,publishedAt,channelId,channelTitle,19,2020-03-20T00:00:00Z,reallysad,15220,604422,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1901,title 22,publishedAt,channelId,channelTitle,17,2021-12-01T00:00:00Z,funny,18314,1019992,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3818,title 23,publishedAt,channelId,channelTitle,24,2019-02-17T00:00:00Z,sad,14951,1590917,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2078,title 24,publishedAt,channelId,channelTitle,35,2022-10-12T00:00:00Z,reallyfunny,14393,1058283,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1887,title 25,publishedAt,channelId,channelTitle,31,2019-05-19T00:00:00Z,notthatgreat,19449,1985804,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2828,title 26,publishedAt,channelId,channelTitle,35,2021-05-01T00:00:00Z,reallyfunny,5376,1322567,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2427,title 27,publishedAt,channelId,channelTitle,40,2021-08-31T00:00:00Z,funny,6282,3280646,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1489,title 28,publishedAt,channelId,channelTitle,33,2020-09-23T00:00:00Z,sad,19810,646263,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
