video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3130,title 0,publishedAt,channelId,channelTitle,41,2022-06-01T00:00:00Z,reallysad,9413,5000000,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1452,title 1,publishedAt,channelId,channelTitle,35,2020-11-26T00:00:00Z,notthatgreat,12899,199705,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1908,title 2,publishedAt,channelId,channelTitle,28,2018-12-27T00:00:00Z,reallysad,17498,2000168,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2390,title 3,publishedAt,channelId,channelTitle,18,2019-09-11T00:00:00Z,notthatgreat,12846,3607693,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3397,title 4,publishedAt,channelId,channelTitle,37,2019-10-28T00:00:00Z,funny,13194,175422,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3809,title 5,publishedAt,channelId,channelTitle,10,2019-06-05T00:00:00Z,funny,10176,1217506,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
283,title 6,publishedAt,channelId,channelTitle,40,2020-12-18T00:00:00Z,reallyfunny,18256,453866,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
833,title 7,publishedAt,channelId,channelTitle,44,2022-10-04T00:00:00Z,sad,10437,2341684,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
133,title 8,publishedAt,channelId,channelTitle,37,2022-11-29T00:00:00Z,funny,13292,1049231,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3561,title 9,publishedAt,channelId,channelTitle,40,2020-03-15T00:00:00Z,funny,5326,990313,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3530,title 10,publishedAt,channelId,channelTitle,18,2021-09-26T00:00:00Z,notthatgreat,16,2855085,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2030,title 11,publishedAt,channelId,channelTitle,36,2019-05-22T00:00:00Z,notthatgreat,7005,692501,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3420,title 12,publishedAt,channelId,channelTitle,30,2021-09-17T00:00:00Z,notthatgreat,8071,2105075,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
846,title 13,publishedAt,channelId,channelTitle,25,2019-01-03T00:00:00Z,sad,14011,1101884,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3556,title 14,publishedAt,channelId,channelTitle,20,2019-03-12T00:00:00Z,sad,12539,1652501,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3864,title 15,publishedAt,channelId,channelTitle,43,2022-07-10T00:00:00Z,funny,8215,715440,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
828,title 16,publishedAt,channelId,channelTitle,42,2021-02-11T00:00:00Z,reallysad,5007,3393552,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3595,title 17,publishedAt,channelId,channelTitle,15,2020-12-24T00:00:00Z,reallysad,14405,2136172,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
2023,title 18,publishedAt,channelId,channelTitle,43,2020-01-11T00:00:00Z,sad,8800,2391661,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1871,title 19,publishedAt,channelId,channelTitle,40,2019-03-30T00:00:00Z,reallyfunny,12036,3019455,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1366,title 20,publishedAt,channelId,channelTitle,21,2020-02-02T00:00:00Z,notthatgreat,3380,2085659,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3205,title 21,publishedAt,channelId,channelTitle,19,2019-08-25T00:00:00Z,sad,9926,1466901,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3509,title 22,publishedAt,channelId,channelTitle,30,2019-09-03T00:00:00Z,funny,6553,243363,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1648,title 23,publishedAt,channelId,channelTitle,25,2020-02-10T00:00:00Z,funny,4466,619627,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2044,title 24,publishedAt,channelId,channelTitle,27,2021-01-10T00:00:00Z,sad,2493,2077151,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
270,title 25,publishedAt,channelId,channelTitle,30,2019-03-24T00:00:00Z,sad,9190,2976384,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
507,title 26,publishedAt,channelId,channelTitle,39,2020-02-19T00:00:00Z,reallyfunny,10328,1881293,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
