video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
654,title 0,publishedAt,channelId,channelTitle,10,2021-11-17T00:00:00Z,funny,16213,5000000,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1567,title 1,publishedAt,channelId,channelTitle,39,2020-06-29T00:00:00Z,sad,11945,2345854,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2934,title 2,publishedAt,channelId,channelTitle,21,2019-05-05T00:00:00Z,sad,19947,594222,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1232,title 3,publishedAt,channelId,channelTitle,10,2019-04-07T00:00:00Z,funny,13056,235534,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1354,title 4,publishedAt,channelId,channelTitle,35,2022-07-24T00:00:00Z,funny,13652,3260038,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1142,title 5,publishedAt,channelId,channelTitle,39,2019-11-09T00:00:00Z,reallyfunny,5912,3766200,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
525,title 6,publishedAt,channelId,channelTitle,42,2022-01-30T00:00:00Z,funny,3192,644051,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
83,title 7,publishedAt,channelId,channelTitle,33,2021-06-06T00:00:00Z,notthatgreat,6436,3265971,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3141,title 8,publishedAt,channelId,channelTitle,40,2019-03-18T00:00:00Z,sad,7581,3172525,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
662,title 9,publishedAt,channelId,channelTitle,10,2021-12-26T00:00:00Z,notthatgreat,11566,1690797,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
279,title 10,publishedAt,channelId,channelTitle,31,2022-08-31T00:00:00Z,reallyfunny,6922,964922,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2374,title 11,publishedAt,channelId,channelTitle,10,2022-11-06T00:00:00Z,sad,10003,3655150,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1963,title 12,publishedAt,channelId,channelTitle,36,2019-11-12T00:00:00Z,reallyfunny,8543,833526,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2737,title 13,publishedAt,channelId,channelTitle,39,2022-10-17T00:00:00Z,notthatgreat,2840,3978988,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1213,title 14,publishedAt,channelId,channelTitle,25,2020-05-03T00:00:00Z,funny,2045,2744748,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
885,title 15,publishedAt,channelId,channelTitle,26,2021-10-19T00:00:00Z,sad,1176,1126787,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2357,title 16,publishedAt,channelId,channelTitle,40,2020-08-30T00:00:00Z,reallyfunny,4667,386961,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
699,title 17,publishedAt,channelId,channelTitle,44,2021-05-29T00:00:00Z,reallysad,18536,1833380,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
465,title 18,publishedAt,channelId,channelTitle,25,2021-02-07T00:00:00Z,reallysad,2155,1004561,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
711,title 19,publishedAt,channelId,channelTitle,44,2020-01-11T00:00:00Z,reallyfunny,4984,1884057,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1584,title 20,publishedAt,channelId,channelTitle,24,2022-06-29T00:00:00Z,sad,13171,1544420,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
37,title 21,publishedAt,channelId,channelTitle,38,2021-05-24T00:00:00Z,reallysad,19024,3025105,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
500,title 22,publishedAt,channelId,channelTitle,30,2021-06-17T00:00:00Z,notthatgreat,13326,3729015,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
173,title 23,publishedAt,channelId,channelTitle,33,2022-02-05T00:00:00Z,notthatgreat,8430,1495523,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2969,title 24,publishedAt,channelId,channelTitle,27,2021-05-18T00:00:00Z,reallysad,1337,2823386,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
328,title 25,publishedAt,channelId,channelTitle,1,2020-10-29T00:00:00Z,funny,7454,304854,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
