video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
3209,title 0,publishedAt,channelId,channelTitle,33,2022-11-21T00:00:00Z,reallysad,14326,5000000,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
330,title 1,publishedAt,channelId,channelTitle,10,2021-07-13T00:00:00Z,funny,10820,465595,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3457,title 2,publishedAt,channelId,channelTitle,35,2019-02-15T00:00:00Z,sad,8500,383802,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2646,title 3,publishedAt,channelId,channelTitle,44,2019-11-03T00:00:00Z,sad,14195,2918170,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3553,title 4,publishedAt,channelId,channelTitle,19,2019-07-30T00:00:00Z,reallyfunny,5194,1820043,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1188,title 5,publishedAt,channelId,channelTitle,20,2022-10-10T00:00:00Z,reallysad,7123,526210,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3475,title 6,publishedAt,channelId,channelTitle,44,2022-04-28T00:00:00Z,funny,16697,1697442,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1416,title 7,publishedAt,channelId,channelTitle,20,2022-02-20T00:00:00Z,reallyfunny,13763,1566585,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1615,title 8,publishedAt,channelId,channelTitle,35,2021-02-17T00:00:00Z,notthatgreat,8370,2634960,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3644,title 9,publishedAt,channelId,channelTitle,35,2022-09-20T00:00:00Z,sad,6945,416838,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
393,title 10,publishedAt,channelId,channelTitle,44,2022-08-21T00:00:00Z,notthatgreat,19518,3177512,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
526,title 11,publishedAt,channelId,channelTitle,15,2021-07-31T00:00:00Z,reallyfunny,9604,1379747,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
100,title 12,publishedAt,channelId,channelTitle,18,2019-06-25T00:00:00Z,notthatgreat,5114,3203277,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1775,title 13,publishedAt,channelId,channelTitle,22,2020-03-12T00:00:00Z,funny,6159,3793826,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3834,title 14,publishedAt,channelId,channelTitle,21,2020-08-19T00:00:00Z,reallyfunny,778,2835209,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2938,title 15,publishedAt,channelId,channelTitle,18,2021-05-13T00:00:00Z,reallyfunny,8819,1529135,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1376,title 16,publishedAt,channelId,channelTitle,35,2021-06-23T00:00:00Z,reallyfunny,9946,1438813,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1040,title 17,publishedAt,channelId,channelTitle,31,2022-09-07T00:00:00Z,notthatgreat,1370,1470970,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1377,title 18,publishedAt,channelId,channelTitle,20,2022-01-16T00:00:00Z,funny,11325,2919051,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3083,title 19,publishedAt,channelId,channelTitle,42,2021-04-18T00:00:00Z,reallysad,18478,3805149,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3226,title 20,publishedAt,channelId,channelTitle,21,2022-10-14T00:00:00Z,sad,9440,3637913,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
789,title 21,publishedAt,channelId,channelTitle,27,2019-05-08T00:00:00Z,sad,14546,3783379,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1016,title 22,publishedAt,channelId,channelTitle,17,2019-10-30T00:00:00Z,reallyfunny,10480,148,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3280,title 23,publishedAt,channelId,channelTitle,21,2019-12-24T00:00:00Z,funny,15977,359043,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
12,title 24,publishedAt,channelId,channelTitle,33,2021-02-20T00:00:00Z,sad,7209,1809827,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2458,title 25,publishedAt,channelId,channelTitle,15,2020-12-05T00:00:00Z,funny,12348,2057027,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1557,title 26,publishedAt,channelId,channelTitle,1,2018-12-26T00:00:00Z,sad,4912,3463541,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
799,title 27,publishedAt,channelId,channelTitle,23,2021-03-22T00:00:00Z,reallyfunny,248,2672933,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3688,title 28,publishedAt,channelId,channelTitle,30,2021-06-01T00:00:00Z,reallysad,8768,13640,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
449,title 29,publishedAt,channelId,channelTitle,22,2021-02-26T00:00:00Z,sad,7364,1572731,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2836,title 30,publishedAt,channelId,channelTitle,2,2021-11-02T00:00:00Z,funny,799,2739752,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
608,title 31,publishedAt,channelId,channelTitle,17,2021-06-16T00:00:00Z,reallyfunny,18814,3190841,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
881,title 32,publishedAt,channelId,channelTitle,26,2022-11-22T00:00:00Z,reallysad,6885,3534191,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1823,title 33,publishedAt,channelId,channelTitle,42,2019-03-14T00:00:00Z,notthatgreat,9332,1253092,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
575,title 34,publishedAt,channelId,channelTitle,41,2020-02-06T00:00:00Z,reallysad,4044,3000887,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
1909,title 35,publishedAt,channelId,channelTitle,36,2020-05-31T00:00:00Z,notthatgreat,5204,2683997,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2220,title 36,publishedAt,channelId,channelTitle,30,2021-06-05T00:00:00Z,funny,8139,109400,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
46,title 37,publishedAt,channelId,channelTitle,38,2018-12-19T00:00:00Z,funny,2629,2452135,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2764,title 38,publishedAt,channelId,channelTitle,1,2019-11-14T00:00:00Z,reallyfunny,16094,1044393,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3309,title 39,publishedAt,channelId,channelTitle,38,2020-02-09T00:00:00Z,reallysad,18913,705434,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3649,title 40,publishedAt,channelId,channelTitle,27,2020-01-07T00:00:00Z,sad,9365,1710630,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
1635,title 41,publishedAt,channelId,channelTitle,38,2022-07-04T00:00:00Z,notthatgreat,8337,1050501,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
3481,title 42,publishedAt,channelId,channelTitle,18,2019-07-23T00:00:00Z,reallysad,12467,437469,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1291,title 43,publishedAt,channelId,channelTitle,21,2019-05-01T00:00:00Z,reallyfunny,11230,2988538,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
711,title 44,publishedAt,channelId,channelTitle,27,2022-08-05T00:00:00Z,sad,7022,94616,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2716,title 45,publishedAt,channelId,channelTitle,25,2021-04-22T00:00:00Z,reallysad,11577,212390,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2228,title 46,publishedAt,channelId,channelTitle,24,2019-07-24T00:00:00Z,sad,11982,3386234,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
948,title 47,publishedAt,channelId,channelTitle,2,2020-01-10T00:00:00Z,funny,4931,1616281,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2516,title 48,publishedAt,channelId,channelTitle,43,2019-02-19T00:00:00Z,notthatgreat,5870,269036,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3913,title 49,publishedAt,channelId,channelTitle,35,2020-07-26T00:00:00Z,reallyfunny,4870,1172908,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
252,title 50,publishedAt,channelId,channelTitle,40,2022-04-26T00:00:00Z,funny,5109,3731118,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3493,title 51,publishedAt,channelId,channelTitle,25,2022-01-15T00:00:00Z,sad,9681,1007101,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3027,title 52,publishedAt,channelId,channelTitle,38,2020-05-05T00:00:00Z,sad,18875,229788,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3227,title 53,publishedAt,channelId,channelTitle,27,2019-05-31T00:00:00Z,reallyfunny,11322,615298,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3158,title 54,publishedAt,channelId,channelTitle,27,2019-04-23T00:00:00Z,sad,11954,1271567,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
2993,title 55,publishedAt,channelId,channelTitle,15,2022-04-14T00:00:00Z,reallysad,11509,2907784,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
3289,title 56,publishedAt,channelId,channelTitle,15,2021-07-24T00:00:00Z,sad,19050,3329257,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2942,title 57,publishedAt,channelId,channelTitle,19,2022-05-26T00:00:00Z,sad,18199,253685,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2544,title 58,publishedAt,channelId,channelTitle,32,2021-07-17T00:00:00Z,funny,14354,598241,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
2723,title 59,publishedAt,channelId,channelTitle,43,2021-05-31T00:00:00Z,notthatgreat,4516,210028,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
1200,title 60,publishedAt,channelId,channelTitle,27,2021-07-14T00:00:00Z,funny,14858,3705327,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
102,title 61,publishedAt,channelId,channelTitle,26,2020-03-03T00:00:00Z,reallyfunny,5436,2811511,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
1086,title 62,publishedAt,channelId,channelTitle,22,2021-05-02T00:00:00Z,funny,2154,2441753,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3872,title 63,publishedAt,channelId,channelTitle,34,2019-11-11T00:00:00Z,funny,16804,701084,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
3964,title 64,publishedAt,channelId,channelTitle,37,2019-12-14T00:00:00Z,funny,4062,2580359,dislikes,comment_count,https://i.ytimg.com/vi/xe-oeEREY1Y/default.jpg,comments_disabled,ratings_disabled,description
3356,title 65,publishedAt,channelId,channelTitle,23,2019-04-14T00:00:00Z,sad,10345,500328,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1297,title 66,publishedAt,channelId,channelTitle,44,2019-10-07T00:00:00Z,reallyfunny,15645,3479204,dislikes,comment_count,https://i.ytimg.com/vi/lty6wb-D-Cw/default.jpg,comments_disabled,ratings_disabled,description
2951,title 67,publishedAt,channelId,channelTitle,23,2019-05-18T00:00:00Z,notthatgreat,17259,1070392,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
3871,title 68,publishedAt,channelId,channelTitle,21,2021-07-19T00:00:00Z,notthatgreat,1487,7721,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
451,title 69,publishedAt,channelId,channelTitle,21,2020-04-18T00:00:00Z,reallysad,4967,991049,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2146,title 70,publishedAt,channelId,channelTitle,33,2022-11-03T00:00:00Z,reallysad,14867,1760802,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2986,title 71,publishedAt,channelId,channelTitle,18,2019-01-01T00:00:00Z,notthatgreat,2199,807845,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
1866,title 72,publishedAt,channelId,channelTitle,19,2019-01-06T00:00:00Z,notthatgreat,19226,3548216,dislikes,comment_count,https://i.ytimg.com/vi/B0yVElQQWjg/default.jpg,comments_disabled,ratings_disabled,description
2650,title 73,publishedAt,channelId,channelTitle,42,2019-03-13T00:00:00Z,reallysad,4941,914181,dislikes,comment_count,https://i.ytimg.com/vi/hsm4poTWjMs/default.jpg,comments_disabled,ratings_disabled,description
753,title 74,publishedAt,channelId,channelTitle,42,2019-07-19T00:00:00Z,funny,630,985001,dislikes,comment_count,https://i.ytimg.com/vi/1NF8v5tnPno/default.jpg,comments_disabled,ratings_disabled,description
